Type|Title|Start Date|End Date|Location|Description
Workshops|Workshop de Desenvolvimento Web com JavaScript para Iniciantes #CPNatal2 #COMUNIDADEDEVOPSRN|18 de Junho de 2019 às 13:15|18 de Agosto de 2019 às 14:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Break the problem #CPNatal2 #COMUNIDADELEP|16 de Agosto de 2019 às 22:00|16 de Agosto de 2019 às 22:45|Natal, Rio Grande do Norte, Brazil|
Workshops|O que é o heroku e como utilizá-lo #CPNatal2 #COMUNIDADEDEVOPSRN|16 de Agosto de 2019 às 23:00|16 de Agosto de 2019 às 23:45|Natal, Rio Grande do Norte, Brazil|
Workshops|Modelando com Thinkercad #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 10:30|17 de Agosto de 2019 às 12:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Robótica Sustentável: Carrinho a propulsão a ar #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 10:30|17 de Agosto de 2019 às 12:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Introdução ao HTML e CSS: Colorindo o mundo web #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|17 de Agosto de 2019 às 11:00|17 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Afinal, o que é uma metodologia ágil? #CPNatal2 #COMUNIDADELEP|17 de Agosto de 2019 às 12:00|17 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Primeiros passos para um DIY home Jarvis #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 12:00|17 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Pensamento Computacional Desplugado #CPNatal2 ##OpenCampus|17 de Agosto de 2019 às 12:30|17 de Agosto de 2019 às 13:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Luminária Vingadores #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 12:30|17 de Agosto de 2019 às 13:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Minicurso de Pitch - Como prender a atenção e gerar interesse da forma certa #CPNatal2 #COMUNIDADELEP|17 de Agosto de 2019 às 13:15|17 de Agosto de 2019 às 14:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Design Gráfico com software livre, Inkscape no Marketing Digital #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 13:15|17 de Agosto de 2019 às 14:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Arduíno na Educação do Futuro #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 14:00|17 de Agosto de 2019 às 15:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Programando com o Scratch #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 14:00|17 de Agosto de 2019 às 15:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Oficina de Ferramentas #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|17 de Agosto de 2019 às 15:15|17 de Agosto de 2019 às 16:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Automação Residencial Básica #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 15:30|17 de Agosto de 2019 às 17:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Minicompetição de Planadores no ambiente escolar #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 15:30|17 de Agosto de 2019 às 17:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Deploy de aplicações com Docker e Jenkins #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 16:15|17 de Agosto de 2019 às 17:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Quebrando captchas vulneráveis com processamento de imagens #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 16:15|17 de Agosto de 2019 às 17:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Quebrando captchas vulneráveis com processamento de imagens #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|17 de Agosto de 2019 às 17:15|17 de Agosto de 2019 às 18:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Arte na Educação do Futuro #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 17:30|17 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Arduino Básico - Sensor de Proximidade com Leds #CPNatal2 #OpenCampus|17 de Agosto de 2019 às 17:30|17 de Agosto de 2019 às 19:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Cloud Study Jams #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 18:35|17 de Agosto de 2019 às 19:15|Natal, Rio Grande do Norte, Brazil|
Workshops|Minicurso de Gestão de Tempo e Produtividade #CPNatal2 #COMUNIDADELEP|17 de Agosto de 2019 às 19:15|17 de Agosto de 2019 às 20:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Git básico e alguns serviços #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 19:20|17 de Agosto de 2019 às 20:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Usando Ansible para fazer deploy da sua primeira aplicação no Heroku #CPNatal2 #COMUNIDADEDEVOPSRN|17 de Agosto de 2019 às 23:00|18 de Agosto de 2019 às 00:15|Natal, Rio Grande do Norte, Brazil|
Workshops|Minicompetição de Planadores no ambiente escolar #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 10:30|18 de Agosto de 2019 às 12:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Modelando com Thinkercad #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 10:30|18 de Agosto de 2019 às 12:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Precisando de dados? Colete-os com Web Scraping #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|18 de Agosto de 2019 às 11:00|18 de Agosto de 2019 às 11:45|Natal, Rio Grande do Norte, Brazil|
Workshops|PyautoGUI: brincando com a GUI#CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|18 de Agosto de 2019 às 12:00|18 de Agosto de 2019 às 13:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Como aprender baseado em projetos? #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 12:30|18 de Agosto de 2019 às 13:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Luminária Vingadores #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 12:30|18 de Agosto de 2019 às 13:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Robótica Sustentável: Carrinho Sustentável Elétrico #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 14:00|18 de Agosto de 2019 às 15:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Avaliação Concurso Leve seu Robô #CPNatal2 #OpenCampus|18 de Agosto de 2019 às 14:00|18 de Agosto de 2019 às 15:30|Natal, Rio Grande do Norte, Brazil|
Workshops|TDD com Python #COMUNIDADEASBOYZINHASARRETADAS|18 de Agosto de 2019 às 14:05|18 de Agosto de 2019 às 15:00|Natal, Rio Grande do Norte, Brazil|
Workshops|Workshop de Desenvolvimento Web com JavaScript para Iniciantes CPNatal2 #COMUNIDADEDEVOPSRN|18 de Agosto de 2019 às 14:15|18 de Agosto de 2019 às 15:30|Natal, Rio Grande do Norte, Brazil|
Workshops|Robô com rodas usando Arduíno #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|18 de Agosto de 2019 às 15:15|18 de Agosto de 2019 às 16:00|Natal, Rio Grande do Norte, Brazil|
