Type|Title|Start Date|End Date|Location|Description
Workshops|IoT na Educação do Futuro #CPNatal2 #OpenCampus|Aug. 18, 2019, 5:30 p.m.|Aug. 18, 2019, 7 p.m.|Natal, Rio Grande do Norte, Brazil|Utilizar wifi em suas aulas? Como? Com a internet das coisas na plataforma nodeMCU podemos incluir mais essa ferramentas em nossos projetos para a educação do futuro.
Workshops|Git para equipes e contribuição em projetos de software livre #CPNatal2 #COMUNIDADEDEVOPSRN|Aug. 18, 2019, 5:15 p.m.|Aug. 18, 2019, 6:30 p.m.|Natal, Rio Grande do Norte, Brazil|Soluções para problemas comumente enfrentados usando Git, noções de fluxo de trabalho em equipe e colaboração em projetos de software livre.
Workshops|Eu nunca...: Desvendando o machismo de todo dia #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|Aug. 18, 2019, 5:05 p.m.|Aug. 18, 2019, 6 p.m.|Natal, Rio Grande do Norte, Brazil|Dinâmica realizada pelos coletivos WiE (Mulheres na Engenharia - UFRN) e MUTE (Mulheres Unidas nas Tecnologias e Exatas) sobre os pequenos machismos do cotidiano das áreas STEM que muitas vezes passam despercebidos.
Workshops|Introdução desenhos e animações em Javascript #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|Aug. 18, 2019, 4:15 p.m.|Aug. 18, 2019, 5 p.m.|Natal, Rio Grande do Norte, Brazil|Utilizando Javascript e bibliotecas com base em WebGL para gerar desenhos e animações no navegador.
Workshops|Oficina de Ferramentas #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|Aug. 17, 2019, 3:15 p.m.|Aug. 17, 2019, 4 p.m.|Natal, Rio Grande do Norte, Brazil|A oficina de ferramentas vem para desconstruir tud
Workshops|Arduino Básico - Sensor de Proximidade com Leds #CPNatal2 #OpenCampus|Aug. 18, 2019, 5:30 p.m.|Aug. 18, 2019, 7 p.m.|Natal, Rio Grande do Norte, Brazil|A atividade será realizada com a utilização de princípios básicos de Arduino, programação e eletrônica para realizar uma base de sensores com visualização via Leds, um sensor de proximidade.
Workshops|[intro a python] Programação Orientada a Problemas #COMUNIDADEDUMONTHACKERSPACE|Aug. 18, 2019, 5:15 p.m.|Aug. 18, 2019, 6 p.m.|Natal, Rio Grande do Norte, Brazil|A ideia aqui é ensinar conceitos básicos de python aplicando scraping em paginas simples. Para capturar e manipular os dados “minerados” das páginas, as participantes precisarão manipular string, lists, criar condicionais, laços de repetição, etc. Elas vão ser conduzidas a aprender python enquanto resolve problemas.
Workshops|Arduíno na Educação do Futuro #CPNatal2 #OpenCampus|Aug. 17, 2019, 2 p.m.|Aug. 17, 2019, 3:30 p.m.|Natal, Rio Grande do Norte, Brazil|Você sabe o que é Arduino? É de comer? Não, pois venha aprender a como utilizar para aprender a ser um Maker na Educação.
Workshops|Workshop de Desenvolvimento Web com JavaScript para Iniciantes #CPNatal2 #COMUNIDADEDEVOPSRN|June 18, 2019, 1:15 p.m.|Aug. 18, 2019, 2 p.m.|Natal, Rio Grande do Norte, Brazil|Mostrar como javascript está inserido no mercado atual e dar uma introdução as tecnologias que usam javascript apresentando suas funcionalidades. Haverá a disponibilização do material da apresentação e de material extra no github.
Workshops|Minicompetição de Planadores no ambiente escolar #CPNatal2 #OpenCampus|Aug. 17, 2019, 3:30 p.m.|Aug. 17, 2019, 5 p.m.|Natal, Rio Grande do Norte, Brazil|A Minicompetição de Planadores é uma estratégia que busca proporcionar a motivação dos alunos de Ensino Fundamental e Médio pelo o estudo de Ciências e Matemática. Para o Ensino Fundamental o público alvo são alunos de 8º ano devido a competição estadual que tem calendário padrão de competição internacional .
Workshops|Quebrando captchas vulneráveis com processamento de imagens #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|Aug. 17, 2019, 5:15 p.m.|Aug. 17, 2019, 6 p.m.|Natal, Rio Grande do Norte, Brazil|Estamos cada vez mais inseridos no mundo digital, o que envolve desde o nosso entretenimento, até operações mais críticas, como o pagamento de contas e compras com cartão de crédito. Com isso, os softwares precisam lidar com um dos principais problemas da área: a segurança, a qual, se não tratada com seriedade, pode trazer diversos problemas, com destaque para o vazamento de informações importantes devido a invasões. Um dos mecanismos de segurança para evitar invasões com bots inteligentes é a utilização de captchas, a qual vem se modernizando para dificultar ao máximo esses tipos de crime. Porém, diversos tipos de captchas ainda são quebráveis rapidamente com o uso de processamento de imagens, técnicas de aprendizado de máquina e web scraping. Neste workshop, você verá diversos exemplos de captchas e como quebrá-los com inteligência artificial (Python+OpenCV) e web scraping (Selenium e BeautifulSoup). E então, quer quebrar um captcha você também, e mostrar como é importante investir em formas mais inteligentes de impedir invasões?
Workshops|Deploy de aplicações com Docker e Jenkins #CPNatal2 #COMUNIDADEDEVOPSRN|Aug. 17, 2019, 4:15 p.m.|Aug. 17, 2019, 5:30 p.m.|Natal, Rio Grande do Norte, Brazil|Criação de um ambiente Docker + Jenkins para deploy de duas aplicações: Integração com Slack e Github e/ou Gitlab.
Workshops|Quebrando captchas vulneráveis com processamento de imagens #CPNatal2 #COMUNIDADEDUMONTHACKERSPACE|Aug. 17, 2019, 4:15 p.m.|Aug. 17, 2019, 5 p.m.|Natal, Rio Grande do Norte, Brazil|Estamos cada vez mais inseridos no mundo digital, o que envolve desde o nosso entretenimento, até operações mais críticas, como o pagamento de contas e compras com cartão de crédito. Com isso, os softwares precisam lidar com um dos principais problemas da área: a segurança, a qual, se não tratada com seriedade, pode trazer diversos problemas, com destaque para o vazamento de informações importantes devido a invasões. Um dos mecanismos de segurança para evitar invasões com bots inteligentes é a utilização de captchas, a qual vem se modernizando para dificultar ao máximo esses tipos de crime. Porém, diversos tipos de captchas ainda são quebráveis rapidamente com o uso de processamento de imagens, técnicas de aprendizado de máquina e web scraping. Neste workshop, você verá diversos exemplos de captchas e como quebrá-los com inteligência artificial (Python+OpenCV) e web scraping (Selenium e BeautifulSoup). E então, quer quebrar um captcha você também, e mostrar como é importante investir em formas mais inteligentes de impedir invasões?
Talk|Cerimônia de Encerramento Campus Party Natal #CPNatal2|Aug. 18, 2019, 8 p.m.|Aug. 18, 2019, 9:30 p.m.|Natal, Rio Grande do Norte, Brazil|Venha curtir os últimos momentos desta inesquecível Campus Party realizada em terras potiguares, reveja os melhores momentos, conheça campuseiros extraordinários assim como você e o que eles fizeram durante a #CPNatal2, premiações de desafios e muito mais.
Workshops|Automação Residencial Básica #CPNatal2 #OpenCampus|Aug. 17, 2019, 3:30 p.m.|Aug. 17, 2019, 5 p.m.|Natal, Rio Grande do Norte, Brazil|A atividade será realizada com princípios básicos de Arduino, programação e eletrônica para realizar uma automação residencial básica através de Bluetooth e App gratuito.
Workshops|Programando com o Scratch #CPNatal2 #OpenCampus|Aug. 17, 2019, 2 p.m.|Aug. 17, 2019, 3:30 p.m.|Natal, Rio Grande do Norte, Brazil|O Scratch para programar suas próprias histórias interativas, animações e jogos. Realizando processos onde eles aprendem a pensar criativamente, raciocinar sistematicamente, e trabalhar colaborativamente habilidades essenciais para todos na sociedade de hoje. Nesta oficina o participante da oficina precisa trazer seu o seu notebookNesta oficina o participante da oficina precisa trazer seu o seu notebook.
Talk|Nota Potiguar Cidadania fiscal inovação e tecnologia #CPNatal2|Aug. 17, 2019, 1:15 p.m.|Aug. 17, 2019, 2 p.m.|Natal, Rio Grande do Norte, Brazil|O objetivo do programa de Educação Fiscal é despertar na população a consciência do que é cidadania e, assim, transmitir conhecimentos para torná-lo apto a fiscalizar a correta aplicação dos recursos públicos, harmonizando a relação Estado-Cidadão, combatendo a sonegação e sensibilizando a população quanto à função socioeconômica dos tributos. Essa palestra traz ao espectador uma visão das soluções tecnológicas utilizadas pelo Governo do Estado do Rio Grande do Norte no desenvolvimento do projeto Nota Potiguar: desafios encontrados, lições aprendidas e o futuro do aplicativo.
Talk|Desenvolvendo o empreendedorismo potiguar através da internacionalização #CPNatal2|Aug. 18, 2019, noon|Aug. 18, 2019, 1 p.m.|Natal, Rio Grande do Norte, Brazil|Nessa palestra vamos falar como o empreendedorismo potiguar está sendo estimulado a partir de intercambistas que estão desenvolvendo trabalhos nas startups potiguares, e de como, jovens do nosso Estado estão se desenvolvendo profissionalmente em startups fora do Brasil.
Talk|Medidas de segurança para servidores em nuvem #CPNatal2 #COMUNIDADEDEVOPSRN|Aug. 18, 2019, noon|Aug. 18, 2019, 1 p.m.|Natal, Rio Grande do Norte, Brazil|Cuidar da segurança de modo geral é algo bastante complexo e, mesmo com um ótimo fundamento, nos dá opções variadas de atuação. Novos cenários aparecem de acordo com as evoluções diárias. Com isso, o leque de atuação é ampliado. Para cloud computing não é diferente.
Talk|Importância de deixar mais fácil o acesso aos dados abertos e aos aplicativos resultante dele #CPNatal2 |Aug. 18, 2019, 11 a.m.|Aug. 18, 2019, 11:45 a.m.|Natal, Rio Grande do Norte, Brazil|Ter dados abertos distribuídos para toda a sociedade é essencial, pois através do mesmo, podemos garantir melhor controle social. Nesta atividade vamos falar um pouco sobre a importância de ter dados abertos de forma fácil, e discutir sobre uma plataforma de dados abertos sendo desenvolvida por dois alunos do curso técnico em informática no IFRN/Campus Ceará-Mirim.
Talk|Pedofilia: um desafio frente as novas tecnologias #CPNatal2 |Aug. 18, 2019, 11 a.m.|Aug. 18, 2019, 11:45 a.m.|Natal, Rio Grande do Norte, Brazil|A atividade consistirá numa mesa redonda, na qual profissionais de diversas áreas debaterão a temática de forma propositiva.
Talk|Programa Norte-rio-grandense de Pensamento Computacional (Pensa RN!) #CPNatal2 #OpenCampus|Aug. 18, 2019, 11:45 a.m.|Aug. 18, 2019, 12:45 p.m.|Natal, Rio Grande do Norte, Brazil|O Instituto Metrópole Digital (IMD) da UFRN está lançando o Programa Norte-rio-grandense de Pensamento Computacional (Pensa RN!) que se destina a criar uma nova cultura de inovação em educação que promova o raciocínio, a criatividade e a crítica na dinâmica das ações pedagógicas das escolas públicas do RN. Para isso, o Pensa RN visa a formação continuada de professores das escolas, a criação de clubes de programação para alunos do 6º ao 9º ano do Ensino Fundamental, e a aplicação de um modelo de análise diagnóstica para ajudar as escolas a melhor compreender as dificuldades dos seus alunos em relação às habilidades e competências elencadas na nova Base Nacional Comum Curricular (BNCC). Espera-se, assim, empoderar professores e alunos por estimular e massificar a aquisição de habilidades de resolução de problemas que se mostram de grande importância para os profissionais da atualidade.
Talk|Enfrentando desafios e encarando a liderança feminina #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|Aug. 18, 2019, noon|Aug. 18, 2019, 1 p.m.|Natal, Rio Grande do Norte, Brazil|Como uma garota tímida em pouco tempo conseguiu crescer dentro de uma Empresa Júnior e se tornou diretora de marketing, sendo a célula liderada estritamente por homens.
Talk|Descubra o seu poder. #CPNatal2 #COMUNIDADEASBOYZINHASARRETADAS|Aug. 18, 2019, 11 a.m.|Aug. 18, 2019, noon|Natal, Rio Grande do Norte, Brazil|Palestra sobre os desafios enfrentados por mulheres na área de assistência técnica em informática e tecnologia. Será falado um pouco sobre minha startup e demais assuntos nessa área.
Talk|Aplicativos mobile nativos VS híbridos #CPNatal2|Aug. 18, 2019, 11 a.m.|Aug. 18, 2019, 11:45 a.m.|Natal, Rio Grande do Norte, Brazil|Conheça as diferentes opções de desenvolvimento mobile existentes no mercado. Descubra as vantagens desvantagens de cada uma e principais tecnologias utilizadas.
Talk|OWASP'S DOCKER SUCURITY #CPNatal2 #COMUNIDADEDEEVOPS|Aug. 18, 2019, 11 a.m.|Aug. 18, 2019, 11:45 a.m.|Natal, Rio Grande do Norte, Brazil| 
Talk|Empresas descentralizadas #CPNatal2|Aug. 17, 2019, 11 p.m.|Aug. 17, 2019, 11:45 p.m.|Natal, Rio Grande do Norte, Brazil|O Blockchain veio para revolucionar muitas coisas, entre esta revolução estão as empresas e entidades descentralizadas, onde você não tem chefe, não tem escritório, só precisa entregar as suas tarefas para que automaticamente seu salário caia na conta. Vamos conhecer um pouco do projeto Decred, uma moeda autônoma digital, e como funciona a sua organização descentralizada, das equipes de desenvolvedores, como é organizado as tasks, o trabalho remoto, o pagamento em criptomoeda e como você pode fazer parte desta revolução.
Talk|Chatbot e a revolução da comunicação #CPNatal2|Aug. 17, 2019, 11 p.m.|Aug. 17, 2019, 11:45 p.m.|Natal, Rio Grande do Norte, Brazil|"Não é muito longe a realidade em que as marcas irão se comunicar com os próprios usuários primariamente via bot e depois via atendimento pessoal.Como podemos aproveitar dessa mudança no marketing digital e como podemos oferecer um produto que não pareça um """"chato automatizado""""A ideia é mostrar como um chatbot entra na vida do dia a dia e como podemor tirar proveito disso, seja como usuários, seja como empresas. Dados e pesquisas que apresentam o novo grande trend no mundo."
Talk|Capture The Flag #CPNatal2 #BANCADADUMONTHACKERSPACE|Aug. 17, 2019, 11 p.m.|Aug. 17, 2019, 11:45 p.m.|Natal, Rio Grande do Norte, Brazil|CTF significa Capture the Flag. No âmbito da informática, são competições que envolvem diversas competências dos profissionais/estudantes/entusiastas para a resolução de desafios relacionados à infosec (segurança da informação), com o objetivo de capturar a bandeira (normalmente um código) e pontuar.
